study_id,survey_id,variant_string,variant_num,total_num
Dama_2017,Dama_2017_Bamako_2014,crt:76:T,130,170
Dama_2017,Dama_2017_Bamako_2014,mdr1:86:Y,46,158
Asua_2019,Asua_2019_Agago_2017,k13:469:Y,42,42
Asua_2019,Asua_2019_Agago_2017,k13:675:V,42,42
Asua_2019,Asua_2019_Arua_2017,k13:675:V,43,43
Asua_2019,Asua_2019_Kole_2017,k13:469:Y,47,47
Asua_2019,Asua_2019_Kole_2017,k13:675:V,47,47
Asua_2019,Asua_2019_Lamwo_2017,k13:469:Y,43,43
Asua_2019,Asua_2019_Lamwo_2017,k13:675:V,43,43
Asua_2019,Asua_2019_Mubende_2017,k13:469:F,45,45
